,Country,Crime Index
0,South Sudan,85.32
1,Venezuela,84.07
2,Guatemala,79.34
3,South Africa,78.44
4,Afghanistan,77.34
5,Guyana,76.88
6,Nigeria,76.6
7,Trinidad And Tobago,75.28
8,Honduras,74.91
9,Bahamas,72.93
10,Kenya,72.61
11,Jamaica,71.91
12,Mongolia,70.25
13,Yemen,70.09
14,Malaysia,69.97
15,Guinea,69.89
16,Libya,69.64
17,El Salvador,69.44
18,Brazil,68.95
19,Maldives,68.75
20,Angola,67.97
21,Dominican Republic,67.72
22,Puerto Rico,67.06
23,Bolivia,65.6
24,Somalia,65.6
25,Kyrgyzstan,65.07
26,Cameroon,64.84
27,Bangladesh,64.25
28,Costa Rica,63.05
29,Argentina,62.4
30,Haiti,62.31
31,Belize,62.27
32,Zimbabwe,62.18
33,Tanzania,61.8
34,Pakistan,61.16
35,Mozambique,60.47
36,Egypt,60.14
37,Uganda,59.41
38,Uzbekistan,58.13
39,Peru,57.63
40,Colombia,56.88
41,Syria,56.32
42,Namibia,55.59
43,Paraguay,55.57
44,Iraq,54.06
45,Ecuador,54.04
46,Mexico,53.84
47,Vietnam,52.29
48,Lebanon,51.98
49,Algeria,51.34
50,Russia,51.33
51,Iran,50.9
52,Panama,50.08
53,United States,50.01
54,Sri Lanka,49.96
55,Myanmar,49.77
56,France,49.71
57,Moldova,49.7
58,Albania,49.6
59,Fiji,49.44
60,Ghana,49.42
61,Ukraine,49.36
62,Nepal,49.18
63,Ireland,49.07
64,Mauritius,48.53
65,Morocco,47.55
66,Italy,47.5
67,Indonesia,47.22
68,Uruguay,47.17
69,Botswana,46.77
70,Kosovo (Disputed Territory),46.76
71,Kazakhstan,46.68
72,India,46.55
73,Bosnia And Herzegovina,45.82
74,Jordan,45.51
75,Chile,45.01
76,Barbados,44.38
77,Cambodia,44.06
78,Timor-Leste,43.75
79,Kuwait,43.51
80,Bulgaria,43.45
81,Serbia,43.43
82,Philippines,43.11
83,Tunisia,42.67
84,Nicaragua,42.37
85,Australia,42.16
86,Sweden,42.09
87,Belgium,42.04
88,United Kingdom,42.01
89,Hungary,41.76
90,China,41.75
91,Zambia,41.72
92,Greece,41.35
93,Bermuda,40.29
94,Bahrain,39.97
95,New Zealand,39.76
96,Canada,37.46
97,Latvia,37.22
98,Thailand,37.06
99,Lithuania,36.69
100,Turkey,36.4
101,Laos,36.24
102,North Macedonia,36.06
103,Portugal,35.84
104,Luxembourg,35.74
105,Sudan,35.68
106,Azerbaijan,35.47
107,Netherlands,35.41
108,Palestine,35.39
109,Ethiopia,35.07
110,Montenegro,34.89
111,Saudi Arabia,34.57
112,Oman,34.43
113,Spain,33.85
114,Slovakia,33.34
115,Iceland,33.32
116,Poland,32.99
117,Czech Republic,32.89
118,Cyprus,31.56
119,Norway,31.19
120,Belarus,30.5
121,Israel,30.4
122,Brunei,30.35
123,Romania,29.72
124,Finland,29.55
125,Croatia,29.34
126,Armenia,29.14
127,Slovenia,28.71
128,Germany,28.49
129,Estonia,28.13
130,Monaco,27.94
131,Switzerland,26.77
132,Austria,26.25
133,Malta,25.91
134,Denmark,25.71
135,United Arab Emirates,22.22
136,Georgia,22.01
137,Taiwan,21.88
138,Qatar,21.04
139,Japan,20.24
140,Hong Kong,19.24
141,Rwanda,19.16
142,Faroe Islands,18.53
143,South Korea,17.99
144,Turkmenistan,17.86
145,Singapore,17.59
146,Isle Of Man,15.1
