,Country name,Score(%)_hs,Score(%)_d,Score(%)_v
0,Myanmar,66,55,50
1,United States of America,61,76,44
2,New Zealand,61,65,45
3,Canada,60,69,44
4,Australia,59,66,40
5,United Kingdom,57,63,32
6,Netherlands,56,59,36
7,Sri Lanka,56,60,48
8,Ireland,56,59,41
9,Malaysia,52,62,37
10,Kenya,52,74,43
11,Malta,51,50,26
12,Bahrain,51,71,30
13,United Arab Emirates,50,69,22
14,Norway,49,55,32
15,Guatemala,49,68,41
16,Bhutan,49,53,38
17,Kyrgyzstan,49,53,36
18,Thailand,48,44,14
19,Germany,47,61,32
20,Jamaica,47,76,38
21,Indonesia,46,35,38
22,Austria,46,55,32
23,Kuwait,46,74,15
24,Liberia,45,78,46
25,Hong Kong,45,57,15
26,Uzbekistan,44,59,43
27,Sweden,44,55,17
28,Puerto Rico,44,67,26
29,Northern Cyprus,43,60,26
30,Finland,43,60,30
31,Iran,43,50,24
32,Luxembourg,43,38,34
33,Singapore,43,44,27
34,Taiwan,43,59,20
35,Costa Rica,43,67,27
36,Slovenia,42,50,35
37,Iraq,42,79,18
38,Denmark,42,53,21
39,Switzerland,42,51,27
40,Dominican Republic,42,62,35
41,Cyprus,42,58,25
42,Nigeria,42,68,32
43,Malawi,42,73,33
44,Mauritius,41,39,34
45,Philippines,40,55,42
46,Saudi Arabia,40,73,15
47,Belgium,40,54,26
48,Chile,40,47,16
49,South Africa,40,73,28
50,Zambia,39,69,29
51,Mongolia,39,39,34
52,Panama,39,49,31
53,Sierra Leone,38,70,25
54,Botswana,38,65,26
55,Kazakhstan,37,51,25
56,Uganda,37,67,24
57,Spain,36,54,20
58,Haiti,36,40,24
59,Honduras,36,50,33
60,Namibia,36,76,21
61,Croatia,36,43,17
62,Ghana,35,56,27
63,Republic of Korea,35,50,21
64,Bolivia,35,54,22
65,Colombia,35,63,20
66,Sudan,35,65,23
67,South Sudan,34,60,24
68,Nicaragua,34,47,20
69,Belize,33,46,26
70,Turkmenistan,33,45,21
71,Italy,33,50,17
72,Tajikistan,33,41,37
73,France,32,39,30
74,Israel,32,27,21
75,Nepal,32,37,27
76,Uruguay,31,50,18
77,Poland,31,51,13
78,Vietnam,31,53,14
79,Guinea,31,54,20
80,Tanzania,30,49,13
81,Portugal,30,51,15
82,Albania,30,53,9
83,Afghanistan,30,51,9
84,Senegal,30,60,14
85,Zimbabwe,29,55,21
86,Bosnia and Herzegovina,29,26,8
87,Ukraine,29,35,13
88,Mexico,29,44,18
89,Congo,28,61,14
90,Cameroon,28,59,12
91,Romania,28,54,7
92,Pakistan,28,36,12
93,Bangladesh,27,62,10
94,Lebanon,27,43,8
95,Ethiopia,27,44,13
96,Montenegro,27,30,7
97,Estonia,26,39,19
98,Cambodia,26,25,9
99,Madagascar,26,32,34
100,Japan,26,28,26
101,Belarus,26,34,16
102,Burkina Faso,25,48,11
103,Brazil,25,41,13
104,India,25,37,17
105,Cote d'Ivoire,25,52,8
106,Argentina,25,43,12
107,Mauritania,24,33,22
108,Latvia,24,33,9
109,Gabon,24,51,10
110,Egypt,23,47,7
111,Georgia,23,42,21
112,Peru,23,38,16
113,Bulgaria,23,38,4
114,Kosovo,23,28,12
115,El Salvador,23,43,19
116,Jordan,23,46,5
117,Serbia,23,24,6
118,Moldova,23,36,14
119,Mali,22,48,5
120,Azerbaijan,22,36,20
121,Slovakia,22,32,11
122,Hungary,22,35,11
123,Paraguay,22,25,10
124,Morocco,21,55,5
125,Democratic Republic of the Congo,21,34,14
126,Venezuela,20,39,11
127,Russia,20,32,19
128,Czech Republic,20,27,13
129,Ecuador,20,36,10
130,Benin,19,37,11
131,Togo,19,43,9
132,Angola,19,30,17
133,Niger,19,39,9
134,Chad,19,37,9
135,Rwanda,19,30,11
136,Armenia,19,41,7
137,Tunisia,17,41,6
138,Greece,17,38,7
139,Palestinian Territory,17,36,7
140,Lithuania,17,33,8
141,Yemen,15,37,3
142,China,12,23,4
143,Burundi,11,16,10
