,country,yes_percentage,happy_score
0,Estonia,16.0,5.628908634185791
1,Sweden,17.0,7.288922309875488
2,Denmark,19.0,7.514424800872803
3,Norway,22.0,7.603433609008789
4,Japan,24.0,5.8796844482421875
5,United Kingdom,27.0,6.515445232391357
6,Finland,28.0,7.447925567626953
7,Vietnam,30.0,5.076315402984619
8,France,30.0,6.3576250076293945
9,Australia,32.0,7.309060573577881
10,Netherlands,33.0,7.324437141418457
11,New Zealand,33.0,7.418120861053467
12,Belgium,33.0,6.904219150543213
13,Bulgaria,34.0,4.865401268005371
14,Russia,34.0,5.995538711547852
15,Belarus,34.0,5.718907833099365
16,Luxembourg,39.0,6.701571464538574
17,Azerbaijan,39.0,5.146774768829346
18,Hungary,39.0,5.344383239746094
19,Latvia,39.0,5.8805975914001465
20,Germany,40.0,7.037137508392334
21,Uruguay,41.0,6.628080368041992
22,Switzerland,41.0,7.572136878967285
23,Canada,42.0,7.4127726554870605
24,Lithuania,42.0,5.71137809753418
25,South Korea,43.0,5.780211448669434
26,Ukraine,46.0,3.964542865753174
27,Slovenia,47.0,5.740642070770264
28,Slovakia,47.0,6.162004470825195
29,Spain,49.0,6.3806633949279785
30,Albania,50.0,4.6066508293151855
31,Israel,51.0,7.079411029815674
32,Kazakhstan,53.0,5.949995040893555
33,Serbia,54.0,5.317685127258301
34,Ireland,54.0,6.830125331878662
35,Austria,55.0,7.076447010040283
36,Uzbekistan,59.0,5.97236442565918
37,Argentina,65.0,6.6971306800842285
38,United States,69.0,6.863946914672852
39,Nicaragua,70.0,5.924112796783447
40,Croatia,70.0,5.205438137054443
41,Chile,70.0,6.532749652862549
42,Singapore,70.0,6.619524955749512
43,Montenegro,71.0,5.1249213218688965
44,Greece,71.0,5.622519016265869
45,Portugal,72.0,5.08086633682251
46,Italy,72.0,5.847683906555176
47,Moldova,72.0,6.017472267150879
48,Kyrgyzstan,72.0,4.905375957489014
49,Iran,73.0,4.749955654144287
50,Mexico,73.0,6.2362871170043945
51,Poland,75.0,6.007021903991699
52,Cyprus,75.0,5.43916130065918
53,North Macedonia,76.0,4.975589752197266
54,Botswana,77.0,3.761964797973633
55,Bosnia and Herzegovina,77.0,5.117177963256836
56,Venezuela,79.0,5.568800449371338
57,Costa Rica,79.0,6.854004383087158
58,Armenia,79.0,4.3483195304870605
59,Turkmenistan,80.0,5.791460037231445
60,Togo,80.0,3.7683019638061523
61,Georgia,81.0,4.121940612792969
62,Turkey,82.0,5.51446533203125
63,Ecuador,82.0,5.964075088500977
64,Colombia,83.0,6.387571811676025
65,Peru,84.0,5.577263355255127
66,Iraq,84.0,4.493377208709717
67,Romania,84.0,5.777491092681885
68,South Africa,85.0,4.887325763702393
69,Tajikistan,85.0,5.124210834503174
70,Haiti,85.0,3.5697624683380127
71,Mozambique,86.0,4.54976749420166
72,Malta,86.0,6.613394260406494
73,Brazil,87.0,6.546896934509277
74,Dominican Republic,87.0,5.061862468719482
75,Lebanon,87.0,5.171971321105957
76,Zimbabwe,88.0,3.7031912803649902
77,Burkina Faso,88.0,4.4189300537109375
78,Panama,88.0,6.605550289154053
79,Guatemala,88.0,6.464986801147461
80,Tanzania,89.0,3.660597324371338
81,Bolivia,89.0,5.834329128265381
82,Syria,89.0,3.4619128704071045
83,India,90.0,4.342079162597656
84,United Arab Emirates,91.0,6.568397521972656
85,Kuwait,91.0,6.146031856536865
86,Paraguay,92.0,5.5597243309021
87,Pakistan,92.0,4.823194980621338
88,Uganda,93.0,4.237686634063721
89,Madagascar,93.0,3.5925140380859375
90,Benin,93.0,3.624664306640625
91,Nepal,93.0,4.812436580657959
92,Tunisia,93.0,5.1316118240356445
93,Saudi Arabia,93.0,6.345491886138916
94,Kenya,94.0,4.3576178550720215
95,Liberia,94.0,2.7015912532806396
96,Bahrain,94.0,6.007375240325928
97,Ghana,95.0,3.9859161376953125
98,Zambia,95.0,4.843164443969727
99,Qatar,95.0,6.3745293617248535
100,Chad,95.0,4.3226752281188965
101,Rwanda,95.0,3.4831089973449707
102,Mali,95.0,4.582098484039307
103,Philippines,96.0,5.547489166259766
104,Cameroon,96.0,5.037964820861816
105,Malaysia,96.0,6.3221211433410645
106,Nigeria,96.0,4.932914733886719
107,Cambodia,96.0,4.162164688110352
108,Senegal,96.0,4.617000579833984
109,Jordan,96.0,5.404593467712402
110,Myanmar,97.0,4.223846435546875
111,Afghanistan,97.0,3.9828546047210693
112,Guinea,97.0,3.5046935081481934
113,Morocco,97.0,5.163156986236572
114,Egypt,97.0,4.762538433074951
115,Thailand,97.0,6.201762676239014
116,Mauritania,98.0,3.922664165496826
117,Malawi,99.0,3.867638349533081
118,Indonesia,99.0,5.042799949645996
119,Yemen,99.0,2.9826738834381104
120,Niger,100.0,3.6714537143707275
121,Somalia,100.0,5.353644847869873
122,Bangladesh,100.0,4.633473873138428
123,Sri Lanka,100.0,4.611606597900391
